gmlid,cod_canton,canton,area,cod_provin,provincia,version,activos,positivos
limitecantonal_5k.27,"110",Alajuelita,21.47,"1",San José,"20201222","2435","13557"
limitecantonal_5k.28,"701",Limón,1769.38,"7",Limón,"20201222","361","12198"
limitecantonal_5k.29,"303",La Unión,44.18,"3",Cartago,"20201222","626","12177"
limitecantonal_5k.30,"118",Curridabat,16.06,"1",San José,"20201222","264","8677"
limitecantonal_5k.31,"209",Orotina,145.11,"2",Alajuela,"20201222","139","2695"
limitecantonal_5k.32,"101",San José,44.62,"1",San José,"20201222","5371","51067"
limitecantonal_5k.33,"102",Escazú,34.53,"1",San José,"20201222","1140","7945"
limitecantonal_5k.34,"306",Alvarado,79.18,"3",Cartago,"20201222","60","1023"
limitecantonal_5k.35,"109",Santa Ana,61.42,"1",San José,"20201222","1779","8060"
limitecantonal_5k.36,"509",Nandayure,568.14,"5",Guanacaste,"20201222","39","897"
limitecantonal_5k.37,"115",Montes de Oca,15.78,"1",San José,"20201222","182","5040"
limitecantonal_5k.38,"108",Goicoechea,31.7,"1",San José,"20201222","2643","14798"
limitecantonal_5k.39,"113",Tibás,8.27,"1",San José,"20201222","666","8739"
limitecantonal_5k.40,"204",San Mateo,125.03,"2",Alajuela,"20201222","23","558"
limitecantonal_5k.41,"502",Nicoya,1337.57,"5",Guanacaste,"20201222","1635","6109"
limitecantonal_5k.42,"205",Atenas,126.31,"2",Alajuela,"20201222","658","3158"
limitecantonal_5k.43,"201",Alajuela,391.62,"2",Alajuela,"20201222","7578","39947"
limitecantonal_5k.44,"114",Moravia,28.82,"1",San José,"20201222","1213","5974"
limitecantonal_5k.45,"602",Esparza,217.23,"6",Puntarenas,"20201222","678","4815"
limitecantonal_5k.46,"111",Vázquez de Coronado,223.93,"1",San José,"20201222","670","8246"
limitecantonal_5k.47,"403",Santo Domingo,25.4,"4",Heredia,"20201222","347","6032"
limitecantonal_5k.48,"407",Belén,12.38,"4",Heredia,"20201222","197","3243"
limitecantonal_5k.49,"409",San Pablo,8.34,"4",Heredia,"20201222","289","3501"
limitecantonal_5k.50,"202",San Ramón,1021.74,"2",Alajuela,"20201222","1907","7675"
limitecantonal_5k.51,"401",Heredia,283.11,"4",Heredia,"20201222","1812","17750"
limitecantonal_5k.52,"511",Hojancha,262.99,"5",Guanacaste,"20201222","40","835"
limitecantonal_5k.53,"408",Flores,6.75,"4",Heredia,"20201222","191","3294"
limitecantonal_5k.54,"405",San Rafael,48.31,"4",Heredia,"20201222","603","5664"
limitecantonal_5k.55,"402",Barva,56.01,"4",Heredia,"20201222","581","5140"
limitecantonal_5k.56,"406",San Isidro,26.67,"4",Heredia,"20201222","177","3044"
limitecantonal_5k.57,"404",Santa Bárbara,52.1,"4",Heredia,"20201222","657","4618"
limitecantonal_5k.58,"207",Palmares,38.94,"2",Alajuela,"20201222","100","5033"
limitecantonal_5k.59,"208",Poás,74.48,"2",Alajuela,"20201222","319","4069"
limitecantonal_5k.60,"203",Grecia,142.47,"2",Alajuela,"20201222","1302","8118"
limitecantonal_5k.61,"206",Naranjo,127.01,"2",Alajuela,"20201222","345","5567"
limitecantonal_5k.62,"604",Montes de Oro,247.59,"6",Puntarenas,"20201222","205","1895"
limitecantonal_5k.63,"212",Sarchí,136.76,"2",Alajuela,"20201222","368","2353"
limitecantonal_5k.64,"703",Siquirres,855.15,"7",Limón,"20201222","382","6859"
limitecantonal_5k.65,"705",Matina,770.4,"7",Limón,"20201222","231","3909"
limitecantonal_5k.66,"503",Santa Cruz,1320.81,"5",Guanacaste,"20201222","1739","7391"
limitecantonal_5k.67,"211",Zarcero,157.36,"2",Alajuela,"20201222","306","1872"
limitecantonal_5k.68,"706",Guácimo,581.05,"7",Limón,"20201222","163","5022"
limitecantonal_5k.69,"507",Abangares,646.02,"5",Guanacaste,"20201222","551","1959"
limitecantonal_5k.70,"702",Pococí,2408.76,"7",Limón,"20201222","972","13753"
limitecantonal_5k.71,"210",San Carlos,3352.31,"2",Alajuela,"20201222","3578","22822"
limitecantonal_5k.72,"506",Cañas,687.05,"5",Guanacaste,"20201222","100","2410"
limitecantonal_5k.73,"508",Tilarán,669.23,"5",Guanacaste,"20201222","169","1548"
limitecantonal_5k.74,"410",Sarapiquí,2144.38,"4",Heredia,"20201222","756","5200"
limitecantonal_5k.75,"505",Carrillo,599.01,"5",Guanacaste,"20201222","944","4366"
limitecantonal_5k.76,"216",Río Cuarto,254.89,"2",Alajuela,"20201222","275","1158"
limitecantonal_5k.77,"504",Bagaces,1277.93,"5",Guanacaste,"20201222","378","1907"
limitecantonal_5k.78,"215",Guatuso,752.84,"2",Alajuela,"20201222","215","2201"
limitecantonal_5k.79,"214",Los Chiles,1332.71,"2",Alajuela,"20201222","117","2901"
limitecantonal_5k.80,"501",Liberia,1442.17,"5",Guanacaste,"20201222","1408","7513"
limitecantonal_5k.81,"213",Upala,1592.67,"2",Alajuela,"20201222","1075","4904"
limitecantonal_5k.82,"510",La Cruz,1385.38,"5",Guanacaste,"20201222","138","2786"
